Neighborhood;Neighborhood_etiquette;Location;Cost_of_living;Income;Owners;Annual_property_tax;School;Crime;Ville;
Blmngtn;Bloomington Heights;NN;2;95256;83;3742;4;-53;0;
Blueste;Bluestem;WW;;;;;;;0;
BrDale;Briardale;NN;-37;45588;39;1789;8;-27;0;
BrkSide;Brookside;NN;;;;;;;0;proche de Stone brook
ClearCr;Clear Creek;WW;;;;;8;;0;proche de Sunset Rock
CollgCr;College Creek;WW;-20;66875;54;2616;8;-45;0;
Crawfor;Crawford;WW;;;;;;;1;Comté de crawford
Edwards;Edwards;;;;;;;;0;
Gilbert;Gilbert;NN;1;66250;82;2706;4;-36;1;
Greens;Greens;NN;-10;84600;61;3667;8;-41;0;
GrnHill;Green Hills;SS;-24;61100;54;3097;8;-57;0;
IDOTRR;Iowa DOT and Rail Road;Center;;;;;;;0;
Landmrk;Landmark;WW;-19;66458;54;1667;8;-29;0;
MeadowV;Meadow Village;SS;-14;53962;50;1521;8;-46;0;
Mitchel;Mitchell;SS;;;;;;;1;
NAmes ;North Ames;NN;;;;;;;0;
NoRidge;Northridge;NN;-9;88438;61;5562;8;-53;0;
NPkVill ;Northpark Villa;NN;-9;88438;61;5562;8;-53;0;
NridgHt;Northridge Heights;NN;2;95256;83;5478;4;-53;0;
NWAmes ;Northwest Ames;NN;;;;;;;0;
OldTown;Old Town;Center;-35;37708;25;2342;8;-34;0;Original ames
SWISU;South & West of Iowa State University;Center;11;32268;34;2486;8;-44;0;CollegeHeight
Sawyer;Sawyer;WW;-11;69067;66;2471;8;-42;0;Ontario height
SawyerW;Sawyer West;WW;-11;71600;49;1705;8;-42;0;Orinal ontario
Somerst;Somerset;NN;-10;84600;61;2314;8;-41;0;
StoneBr;Stone Brook;NN;2;95256;83;4369;4;-53;0;
Timber;Timberland;SS;;;;;8;;0;Timberland height / timberlane
Veenker;Veenker;NN;;;;;;;0;proche de The green
